DATE,COUNT,SECONDS
2/10/2016,22420,18131273
2/11/2015,11439,7424144
2/11/2016,18748,15211885
2/12/2015,11269,7300488
2/12/2016,16449,15064032
2/13/2015,7642,4761355
2/13/2016,6625,5526857
2/14/2015,4614,2887657
2/14/2016,4653,4404449
2/15/2015,2581,1470805
2/15/2016,5884,4191730
2/16/2015,3998,2382051
2/16/2016,14542,10831936
2/17/2015,4784,3106012
2/17/2016,23572,18188864
2/18/2015,9170,5941907
2/18/2016,22261,19119898
2/19/2015,7799,4644577
2/19/2016,21959,17399445
2/2/2015,1459,1343538
2/2/2016,28528,24598388
2/20/2015,6159,3712675
2/20/2016,24484,30058959
2/21/2015,3157,1865566
2/21/2016,20052,23626005
2/22/2015,4274,3064653
2/22/2016,28233,23801684
2/23/2015,7458,4713068
2/23/2016,16133,12465756
2/24/2015,7402,4773339
2/24/2016,9761,6983081
2/25/2015,10751,7003763
2/25/2016,25102,18694085
2/26/2015,9901,6688204
2/26/2016,22573,17569595
2/27/2015,9864,6508479
2/27/2016,17226,17517953
2/28/2015,6318,4103170
2/28/2016,25437,31985147
2/29/2016,27954,22331963
2/3/2015,4754,3647385
2/3/2016,16203,11338548
2/4/2015,8973,6259175
2/4/2016,27766,26211102
2/5/2015,9208,5740237
2/5/2016,13670,11419156
2/6/2015,8575,5463278
2/6/2016,16933,16633363
2/7/2015,6790,4661069
2/7/2016,17605,16784886
2/8/2015,6662,4443139
2/8/2016,19026,14619623
2/9/2015,5160,3271088
2/9/2016,22741,17883573
2014-01-01,6059,5590316
2014-01-02,8600,6697849
2014-01-03,1144,919012
2014-01-04,2292,2805167
2014-01-05,2678,2207310
2014-01-06,9510,7306575
2014-01-07,6267,4550477
2014-01-08,9246,5677115
2014-01-09,13354,8705390
2014-01-10,9847,6613696
2014-01-11,7695,5711025
2014-01-12,12515,9063164
2014-01-13,20633,14582824
2014-01-14,9999,6668954
2014-01-15,21630,15190627
2014-01-16,19953,13633968
2014-01-17,20301,14874215
2014-01-18,9438,7975544
2014-01-19,9028,7370002
2014-01-20,13407,10540565
2014-01-21,3804,3263060
2014-01-22,2451,2437772
2014-01-23,5071,4686209
2014-01-24,6176,4830008
2014-01-25,4338,2984605
2014-01-26,4980,3574291
2014-01-27,13119,8292608
2014-01-28,10033,8559347
2014-01-29,10021,6716754
2014-01-30,12158,8164306
2014-01-31,14653,10291516
2014-02-01,12771,10475762
2014-02-02,13816,11388439
2014-02-03,2600,2073611
2014-02-04,8709,6553869
2014-02-05,2746,2540986
2014-02-06,7196,7489712
2014-02-07,8495,8910799
2014-02-08,5986,6241376
2014-02-09,4996,5132516
2014-02-10,6846,5916545
2014-02-11,8343,8235235
2014-02-12,8580,7249115
2014-02-13,876,4263146
2014-02-14,3609,6259345
2014-02-15,2261,2489425
2014-02-16,3003,3846266
2014-02-17,4854,4694306
2014-02-18,5140,4511696
2014-02-19,8506,7225679
2014-02-20,11792,9603242
2014-02-21,8680,6121807
2014-02-22,13044,12891153
2014-02-23,13324,12456501
2014-02-24,12922,9759142
2014-02-25,12830,8802347
2014-02-26,11188,7432823
2014-02-27,12036,7591807
2014-02-28,9587,6379434
2014-03-01,9202,6556222
2014-03-02,8195,5514981
2014-03-03,7708,5298617
2014-03-04,10398,6446563
2014-03-05,13801,8710363
2014-03-06,12773,7812896
2014-03-07,13304,8817761
2014-03-08,16350,15564817
2014-03-09,12262,9347573
2014-03-10,17231,11603314
2014-03-11,24356,18922105
2014-03-12,15101,9940915
2014-03-13,10979,7017150
2014-03-14,16299,10678421
2014-03-15,18053,16007358
2014-03-16,9851,7258136
2014-03-17,12503,7967822
