DATE,COUNT,SECONDS
11/10/2015,9157,6610496
11/10/2016,10363,7738600
11/10/2017,4389,2928561
11/11/2014,4764,3050221
11/11/2015,8208,5629394
11/11/2016,8125,5800148
11/11/2017,3045,2087469
11/12/2014,4604,2750800
11/12/2015,5989,3685791
11/12/2016,7573,7816385
11/12/2017,2152,1482187
11/13/2014,3932,2420703
11/13/2015,6721,4319156
11/13/2016,6493,6597622
11/13/2017,8326,5274701
11/14/2014,4054,2572913
11/14/2015,6179,5863455
11/14/2016,9697,6764387
11/14/2017,9045,5763723
11/15/2014,2264,1836532
11/15/2015,7707,8132400
11/15/2016,9671,6706340
11/15/2017,6030,4023094
11/16/2014,1710,1192245
11/16/2015,7990,5496414
11/16/2016,10054,6917951
11/16/2017,7889,4785184
11/17/2014,3091,2020995
11/17/2015,5915,3855179
11/17/2016,11105,8479676
11/17/2017,5916,3563624
11/18/2014,2801,1703338
11/18/2015,6971,4454874
11/18/2016,7744,5205834
11/18/2017,1664,1062589
11/19/2014,3581,2191878
11/19/2015,6462,4173901
11/19/2016,3169,2121943
11/19/2017,3397,2856971
11/2/2014,4460,4212807
11/2/2015,12063,10480953
11/2/2016,8187,5721142
11/2/2017,7832,5215420
11/20/2014,3424,1967976
11/20/2015,5973,3820651
11/20/2016,2784,1903929
11/20/2017,7966,5471793
11/21/2014,3708,2237889
11/21/2015,818,605569
11/21/2016,6711,4514592
11/21/2017,6731,4232348
11/22/2014,2504,1934794
11/22/2015,1112,875261
11/22/2016,6591,4159544
11/22/2017,5179,3458724
11/23/2014,1665,1174537
11/23/2015,4273,2811471
11/23/2016,3597,2190449
11/23/2017,1851,1877211
11/24/2014,1993,1135085
11/24/2015,5481,3592317
11/24/2016,1592,1310436
11/24/2017,4530,4858965
11/25/2014,3200,1815007
11/25/2015,5253,3698766
11/25/2016,2736,2288302
11/25/2017,4251,4372799
11/26/2014,2635,1585372
11/26/2015,1324,1138637
11/26/2016,3497,3139921
11/26/2017,3606,3030871
11/27/2014,706,546404
11/27/2015,1046,637701
11/27/2016,3060,2291092
11/27/2017,9146,6252486
11/28/2014,1265,816353
11/28/2015,2284,2092928
11/28/2016,4341,2884501
11/28/2017,9926,6874020
11/29/2014,2706,2883345
11/29/2015,2604,2036478
11/29/2016,8825,6317308
11/29/2017,9007,6067913
11/3/2014,7503,5773059
11/3/2015,12503,10570939
11/3/2016,12237,10979176
11/3/2017,9445,6608139
11/30/2014,2048,1765165
11/30/2015,5015,3031494
11/30/2016,7439,4764943
