DATE,COUNT,SECONDS
2014-09-03,10412,9280208
2014-09-04,10830,9527659
2014-09-05,11006,9983263
2014-09-06,9315,10848946
2014-09-07,11229,14423198
2014-09-08,10377,9416960
2014-09-09,10978,9629144
2014-09-10,11233,10290354
2014-09-11,10997,9481259
2014-09-12,12179,12157876
2014-09-13,8207,8758063
2014-09-14,11911,16117341
2014-09-15,11348,11265565
2014-09-16,12134,11080747
2014-09-17,11633,11285231
2014-09-18,11507,10597845
2014-09-19,11855,11403758
2014-09-20,12677,18063732
2014-09-21,10737,13708932
2014-09-22,11002,10164854
2014-09-23,11592,10320577
2014-09-24,9309,8052954
2014-09-25,6645,4989164
2014-09-26,12131,12763235
2014-09-27,12626,18007217
2014-09-28,10904,13691835
2014-09-29,10628,9823244
2014-09-30,11608,10314792
2014-10-01,10550,8916344
2014-10-02,11697,10452243
2014-10-03,10903,10061933
2014-10-04,10642,12869334
2014-10-05,9647,11474835
2014-10-06,10655,10254289
2014-10-07,9464,8293853
2014-10-08,11261,10529563
2014-10-09,11230,9994223
2014-10-10,8144,6518735
2014-10-11,5697,5762336
2014-10-12,9419,12752576
2014-10-13,6611,5833172
2014-10-14,10900,10008698
2014-10-15,6100,4524643
2014-10-16,10076,8511244
2014-10-17,11940,12871138
2014-10-18,10848,14949494
2014-10-19,8121,9115652
2014-10-20,9426,8109004
2014-10-21,7467,5956479
2014-10-22,4386,3211569
2014-10-23,9754,7978517
2014-10-24,10453,9561716
2014-10-25,11182,15227396
2014-10-26,10253,14195266
2014-10-27,10538,9642271
2014-10-28,11582,10420879
2014-10-29,9396,6942444
2014-10-30,10045,8102728
2014-10-31,9575,7670009
2014-11-01,6064,5113744
2014-11-02,5643,4989325
2014-11-03,8563,6651267
2014-11-04,9809,7689101
2014-11-05,9118,7255452
2014-11-06,7306,5295741
2014-11-07,8690,6628040
2014-11-08,7551,8106768
2014-11-09,7826,7985652
2014-11-10,9294,8019345
2014-11-11,10772,9775709
2014-11-12,9539,7517163
2014-11-13,7124,5229612
2014-11-14,7018,4897295
2014-11-15,5938,5777756
2014-11-16,4737,3959706
2014-11-17,4083,2583249
2014-11-18,5528,3468851
2014-11-19,5982,3800383
2014-11-20,7235,5057489
2014-11-21,6345,4150885
2014-11-22,5561,4805540
2014-11-23,5560,5268159
2014-11-24,9142,8075575
2014-11-25,8127,6426901
2014-11-26,1424,832115
2014-11-27,1843,1838018
2014-11-28,2609,2338002
2014-11-29,3651,3607664
2014-11-30,4966,4678903
2014-12-01,6314,4667718
2014-12-02,2653,1760330
2014-12-03,6853,4498701
2014-12-04,7332,4929937
2014-12-05,5986,3821385
2014-12-06,2677,1867534
2014-12-07,5253,4276926
2014-12-08,6026,3859923
2014-12-09,3290,2055747
2014-12-10,6697,4473822
2014-12-11,6320,4374309
2014-12-12,6760,4851534
2014-12-13,5623,4736382
2014-12-14,5247,4314888
2014-12-15,7638,5438930
2014-12-16,5947,4055707
2014-12-17,7369,5415933
2014-12-18,6313,4171908
2014-12-19,5867,3960915
2014-12-20,3847,2930044
2014-12-21,3552,3148509
2014-12-22,2963,1848197
2014-12-23,3720,2493718
2014-12-24,1212,953361
2014-12-25,1635,2423985
2014-12-26,2911,3941645
2014-12-27,4181,6865644
2014-12-28,2861,3209552
2014-12-29,5142,4696773
2014-12-30,5162,4310622
2014-12-31,4209,3250455
2015-01-01,2578,2559178
2015-01-02,5108,4789006
2015-01-03,1703,1225531
2015-01-04,3658,3044964
2015-01-05,5222,3434921
2015-01-06,2060,1349871
2015-01-07,3035,1962348
2015-01-08,2952,1835641
2015-01-09,4214,2784986
2015-01-10,2673,1675118
2015-01-11,3451,2441678
2015-01-12,2155,1351073
2015-01-13,5473,3536285
2015-01-14,4555,2765144
2015-01-15,5774,3799666
2015-01-16,5683,3850976
2015-01-17,4217,3766718
2015-01-18,2523,1787308
2015-01-19,4634,3809014
2015-01-20,6263,4363543
2015-01-21,5350,3412309
2015-01-22,6369,4384319
2015-01-23,4733,3476467
2015-01-24,3472,2445239
2015-01-25,5159,4183383
2015-01-26,2429,1602289
2015-01-27,4067,2566307
2015-01-28,5094,3156220
2015-01-29,4628,2931251
2015-01-30,4848,2949510
2015-01-31,3331,2479941
2015-02-01,3587,2507477
2015-02-02,3881,2398450
2015-02-03,5117,3147502
2015-02-04,6074,3966654
2015-02-05,4986,3212962
2015-02-06,4927,2990761
2015-02-07,4925,4178866
2015-02-08,6647,7775583
2015-02-09,4939,3353553
2015-02-10,5667,3767771
2015-02-11,6592,4548349
2015-02-12,5439,3376316
2015-02-13,4010,2384979
2015-02-14,2933,2526335
2015-02-15,1041,599395
2015-02-16,1315,778386
2015-02-17,1178,821635
2015-02-18,3143,1992230
2015-02-19,2682,1641272
2015-02-20,2484,1405990
2015-02-21,741,521002
2015-02-22,1989,1486056
2015-02-23,3597,2225253
2015-02-24,3871,2260699
2015-02-25,4950,3138454
2015-02-26,3475,2289340
2015-02-27,4640,3101256
2015-02-28,3222,2409628
2015-03-01,768,490057
2015-03-02,4067,2802283
2015-03-03,3831,2342376
2015-03-04,4141,2605402
2015-03-05,538,541565
2015-03-06,1928,1508251
2015-03-07,3182,2784673
2015-03-08,5348,5918674
2015-03-09,7942,7910143
2015-03-10,3941,3110475
2015-03-11,7700,7002027
2015-03-12,8999,8783139
2015-03-13,7908,7565280
2015-03-14,3547,3478121
2015-03-15,6416,7573791
2015-03-16,8781,9043411
2015-03-17,9027,8600273
2015-03-18,7382,5519211
2015-03-19,8044,6850235
2015-03-20,2905,1870957
2015-03-21,9043,12802205
2015-03-22,7953,10142369
2015-03-23,7967,7061338
2015-03-24,7729,6048943
2015-03-25,7423,5676178
2015-03-26,8536,7937366
2015-03-27,6002,4949286
2015-03-28,4573,3971846
2015-03-29,5672,6785525
2015-03-30,8952,9010620
2015-03-31,8011,7512011
2015-04-01,9877,10196058
2015-04-02,11276,13318116
2015-04-03,6428,5702518
2015-04-04,10438,16695990
2015-04-05,10187,17824808
2015-04-06,12640,17208827
2015-04-07,11117,12939823
2015-04-08,7441,6237992
2015-04-09,7828,6833059
2015-04-10,9398,10335693
2015-04-11,16746,33021903
2015-04-12,15752,30155427
2015-04-13,12696,16653364
2015-04-14,3825,2662276
2015-04-15,11129,11258672
2015-04-16,11691,11945432
2015-04-17,12550,15109489
2015-04-18,16008,27703995
2015-04-19,10255,15605672
2015-04-20,9068,8944941
2015-04-21,11644,11559355
2015-04-22,10545,9495262
2015-04-23,10107,8865089
2015-04-24,10376,11000680
